13	ACTIONABLE	LARGE	A step that renames an aggregation strategy has no shape to declare it	What would close it: a declaration whose unit is the strategy rather than the key, applied to the suffix of every expanded spelling. Nothing needs it yet; the plan renames keys, not strategies.	Design a declaration shape whose unit is the aggregation strategy (not the key), so a strategy rename/removal can be expressed and gated
27	ACTIONABLE	SMALL	The overlap check cannot see a reference-only key shaped like an aggregation	What would close it: after Ш5e3 the eleven literals become constants, so the same check then covers the whole published universe. Re-measure then, and this entry goes away rather than being restated.	Re-measure the overlap check's coverage now that Ш5e3 turned the eleven collector-owned literals into MetricName constants
90	ACTIONABLE	LARGE	The metric key and the channel it checks are one string, and one guard pays	What would close it: nothing textual can. It needs a reference a literal cannot fake — a channel code carried as a value object rather than a string at the sites that copy it.	Introduce a value-object channel-code reference so RuleIdentifierLiteralGuardTest's ownership check stops relying on string literal matching
108	ACTIONABLE	LARGE	Words, not spellings: `ccn` / `cyclomatic`, `mi` / `index`, `dit` / `inheritance`	the step that closes this measures the radius of both and picks one: renaming the metric costs 711 occurrences ...; renaming the three channels costs three map rows on a surface Ш5b-Ш5d just stabilised	Pick and execute one of the two renames (711 metric-key occurrences+docs, or the three channel names+map rows) to unify metric/channel wording for ccn/cyclomatic, mi/index, dit/inheritance
129	ACTIONABLE	LARGE	`AnalysisResult` glues three unrelated subjects into one VO	What would close it: a step that gives each of the three subjects its own value — a measured-facts VO, a controls-in-force VO, a rule-verdict VO ... and makes AnalysisResult compose the three rather than flatten them. Not attempted here	Split AnalysisResult into three subject-owned VOs (measured facts, controls-in-force, rule verdict) composed rather than flattened, touching ~29 call sites
190	ACTIONABLE	LARGE	`contract_surface` cannot express a chain through another owner's carrier	What would close it: either extending the relation to a carrier chain with every link checked, or revisiting the same-owner requirement while naming what is checked instead. That is the manifest owner's call	Extend contract_surface to model a multi-hop carrier chain (or redesign the same-owner carrier rule) so RuleExecutionResult's real Analysis.Finding to Analysis.Run to Infrastructure.Console chain is checkable
222	ACTIONABLE	SMALL	Путь парсера покрывает 6 из 27 классов `ThresholdAware` (измерено в П1)	Решение о том, доводить ли путь парсера до всех 27, принимает владелец: цена — 21 сквозной кейс, выгода — закрытие того класса дефектов, который однажды уже доехал до релиза	Owner decides whether to extend ThresholdAnnotationParserPathTest coverage from 6 to all 27 ThresholdAware classes; if yes, add the 21 missing end-to-end cases
284	ACTIONABLE	SMALL	Порядок регистрации каналов наблюдаем через подсказку «closest to it»	Что закроет: тотальный порядок подсказок — сортировка кандидатов по паре (расстояние, имя), после которой порядок регистрации не наблюдаем ни через одного из четырёх	Sort channel-suggestion candidates by (distance, name) instead of registration order, as a step with its own declared gate delta
314	ACCEPTED	-	Одно явление -- два разных инструмента принятия: ратчет у П1, точечные пороги у П3	Решение владельца 2026-08-31: правило в `AGENTS.md` сейчас не пишется. Это вопрос про улучшение нашего собственного кода, а не про продукт и его принципы; базлайн разбирается отдельным заходом. Поправка к ложному правилу остаётся здесь и действует как поправка	-
366	ACTIONABLE	LARGE	Слово `exclude` покрывает три механизма, из которых два -- подавление	Что закроет: отдельный шаг словарного захода, решающий заодно, остаются ли два разных подавления двумя ключами или сливаются в один с уровнем применения	Rename/redesign the exclude_* config keys as a breaking schema change with its own migration and CHANGELOG Breaking entry, distinguishing true exclusion from the two suppression mechanisms
448	ACTIONABLE	LARGE	Второй вход пайплайна стоил классу перехода warning → error по связности	Что закроет: разделение пайплайна на подготовку прогона и его потребителей — работа своего масштаба, не хвост пакета	Split AnalysisPipeline into run-preparation and consumer subjects to remove the coupling growth that is currently only hidden by rule-path-exclusion
482	ACTIONABLE	LARGE	`Overrun` не различает направления границы	Разделение вердикта надвое остаётся открытым и возможно только после того, как понятие направления появится у слоя правил	Give the rule layer a notion of boundary direction (stricter vs looser) so the Overrun verdict can be split into two distinct verdicts
525	ACTIONABLE	SMALL	Отчёт команды печатает пути относительно корня проекта, и только их	Что закроет: печать корня прогона в шапке рядом с охватом — работа на одну строку, но она меняет обе проекции и потому не хвост чужого пакета	Print the run root in the report header next to the scope, in both text and machine projections
576	SUPERSEDED	-	Диагностика идёт мимо кадра прогресса, и её фолбэки не сведены	Остаётся: предупреждение `WorkerBootstrap` пишется в `STDERR` дочернего процесса (см. запись Х5 ниже) — этот шов новым владельцем не покрыт, потому что он в другом процессе	line 1789, heading "Предупреждение `WorkerBootstrap` пишется в `STDERR` дочернего процесса -- гипотеза"
735	ACTIONABLE	SMALL	Удельная цена больше не линейна по числу директив	Что закроет: если шаг снова начнёт мешать, считать не директивы, а Σ(nᴿ · Tᴿ) — обе величины уже снимаются профилировщиком и отчётом команды	If the step starts blocking again, switch the cost heuristic from directive count to Σ(nᴿ·Tᴿ) using already-available profiler/report data
747	ACCEPTED	-	Два полных исполнения остаются в цене узкого прохода	Что закроет: ничего дешёвого. Сузить его — значит перестать доказывать ровно то, ради чего он есть; запись существует, чтобы следующий заход не «оптимизировал» его, не увидев этой связи	-
759	ACTIONABLE	UNKNOWN	Аудит директив не адресует продюсера без класса, и ветка сужения для него недостижима	Что закроет: первый настоящий потребитель сужения помимо аудита — либо снятие ветки вместе с обещанием, если такого потребителя не появится	Missing fact: whether a genuine consumer of narrowing beyond the audit will ever appear, which decides between building support for it or deleting the unreachable branch and its promise
774	CLOSED	-	`isRuleDisabledByOptions()` не спускается в поуровневую конфигурацию	Закрыто заходом Х3, пакет A ... операция isRuleDisabledByOptions() из RuleConfigurationInterface удалена ... измерено, что частичное ... даёт тот же ложный Inert ... и по-другому чиниться не может: директива живёт на объявлении, то есть на уровне	-
799	ACTIONABLE	LARGE	Физическая директива не несёт уровня, и на ней исходный дефект остался	Что закроет: `NextLine` получает субъект объявления, начинающегося на подавляемой строке ... Почему не в пакете A: закрытие требует ... ослабления инварианта VO ... и правки пути сбора. Это отдельный предмет со своим прогоном	Give NextLine a declaration subject (weakening the physical-form VO invariant) and adjust the collection path so DirectiveLevels can answer for it like the symbolic form
