# X18 "promise vs. cure" -- P0a: the corpus of legitimately-authored configuration documents.
#
# WHY: the round's new default is "form not recognized => refuse (exit 3)" instead of the previous
# silent acceptance. That default's price is refusing a LEGITIMATE document, and benchmarks cannot
# measure that price -- they carry no configuration at all. This corpus is the price gauge: every
# package that introduces a new refusal re-runs `composer promise-effect:corpus` over it and reports
# the count of legitimate refusals. Zero is required.
#
# HOW OBTAINED: `git ls-files '*qmx*.yaml'` (28 rows) plus the 3 files under
# `src/Analysis/Configuration/Preset/` (`ci.yaml`, `legacy.yaml`, `strict.yaml`, fed only through
# `--preset=<name>`, never by path, so they are listed by preset name instead of by file path).
# Measured on this tree (branch x18-promise-cure, base 72f18239, 2026-09-11): 28 tracked + 3 built-in
# presets = 31 documents, matching the plan's count. A prior plan revision counted 74 using `find`,
# which also matched duplicates under `.claude/worktrees`; `git ls-files` does not.
#
# WHAT THIS METHOD DOES NOT SEE: a legitimate document that is not tracked in git (e.g. one a real
# user keeps in a project this repository does not contain), and a legitimate document authored after
# this snapshot. It also does not see custom preset FILES passed via `--preset=./path.yaml` -- no
# such file is tracked in this repository, so that door has no corpus member here. The count is a
# floor over this tree's own history, not a claim about every legitimate document that could exist.
#
# COLUMNS:
#   path_or_preset   - path relative to the repository root, or `preset:<name>` for a built-in preset
#   origin            - what produced/owns this document
#   why_legitimate    - the fact that makes refusing it a real cost, not a made-up one
#   how_fed           - the exact CLI door the runner (scripts/promise-effect-corpus.php) uses to feed it
path_or_preset	origin	why_legitimate	how_fed
finding-gate/cases/annotations/qmx.yaml	finding-gate corpus case "annotations"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/annotations && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2
finding-gate/cases/applied-threshold/qmx.yaml	finding-gate corpus case "applied-threshold"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/applied-threshold && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2
finding-gate/cases/complexity/qmx.yaml	finding-gate corpus case "complexity"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/complexity && bin/qmx check src -c qmx.yaml --rule-opt=... (23 complexity/cohesion/maintainability thresholds, see case.json)
finding-gate/cases/coupling/qmx.yaml	finding-gate corpus case "coupling"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/coupling && bin/qmx check src -c qmx.yaml --rule-opt=... (14 coupling/long-parameter-list thresholds, see case.json)
finding-gate/cases/cycle/qmx.yaml	finding-gate corpus case "cycle"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/cycle && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2
finding-gate/cases/design/qmx.yaml	finding-gate corpus case "design"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/design && bin/qmx check src -c qmx.yaml --rule-opt=... (20 design/size thresholds, see case.json)
finding-gate/cases/disabled-rule-duplication/qmx.yaml	finding-gate corpus case "disabled-rule-duplication"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/disabled-rule-duplication && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2 --disable-rule=duplication.clone:project
finding-gate/cases/disabled-rule/qmx.yaml	finding-gate corpus case "disabled-rule"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/disabled-rule && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2 --disable-rule=code-smell.eval
finding-gate/cases/discovery/qmx.yaml	finding-gate corpus case "discovery"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/discovery && bin/qmx check src -c qmx.yaml
finding-gate/cases/duplication/qmx.yaml	finding-gate corpus case "duplication"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/duplication && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2
