13	OPEN	n/a	A step that renames an aggregation strategy has no shape to declare it	Nothing needs it yet; the plan renames keys, not strategies.	No declaration shape exists for a strategy rename/removal; needed only if such a step is ever attempted
27	CLOSED	no	The overlap check cannot see a reference-only key shaped like an aggregation	after Ш5e3 the eleven literals become constants, so the same check then covers the whole published universe	none - verified MetricName.php now declares all 82/82 published keys as constants, closing the entry's own stated condition
47	CLOSED	yes	The corpus no longer proves a user formula that reads a metric key	Closed by Ш6, package П1 (2026-08-29).	none - verified finding-gate/cases/health/case.json still carries computed.branch-load reading a metric key
69	CLOSED	yes	The type-coverage tie is out of the corpus for one step	Closed by Ш6, package П1 (2026-08-29).	none - verified design.type-coverage.propurn directive present in finding-gate/cases/annotations/src/Directives.php
90	OPEN	n/a	The metric key and the channel it checks are one string, and one guard pays	Nothing textual can. It needs a reference a literal cannot fake	guard still judges ownership by string literal; needs a value-object reference for channel codes at copy sites
108	OPEN	n/a	Words, not spellings: `ccn` / `cyclomatic`, `mi` / `index`, `dit` / `inheritance`	Owner's decision, 2026-08-28: acceptable now, worth closing.	still three metric/rule word pairs unmerged (complexity.ccn vs complexity.cyclomatic etc, verified live in code); decision on which side to rename not taken
129	OPEN	n/a	`AnalysisResult` glues three unrelated subjects into one VO	Not attempted here: Ш6's contract names AnalysisResult as a pass-through carrier, not as the layout to fix	class still has 8-param constructor with @qmx-threshold docblock acknowledging the unsplit shape; split into three VOs not done
169	CLOSED	yes	The suppressed composition is outside the equivalence gate for one step	Closed by package Х3-B1 (2026-09-02).	none - verified 'suppressed' present in scripts/finding-gate/Surfaces.php::FORMATS
190	OPEN	n/a	`contract_surface` cannot express a chain through another owner's carrier	That is the manifest owner's call, not the call of the step that first needed it.	same-owner-carrier requirement in generate-modular-architecture-production-inventory.php unchanged; carrier-chain relation not built
222	OPEN	n/a	Путь парсера покрывает 6 из 27 классов `ThresholdAware` (измерено в П1)	Решение о том, доводить ли путь парсера до всех 27, принимает владелец	extending parser-path coverage from 6 to 27 ThresholdAware classes is an undecided, unstarted owner call; verified test still names only the same 6 rules
256	CLOSED	yes	Прямой `vendor/bin/phpunit` без `--no-coverage` не исполняет ни одного теста	Закрыто пакетом Х3-A2 (2026-09-02).	none - verified phpunit.xml.dist has no <coverage> block and CoverageIsRequestedExplicitlyTest guards it
284	OPEN	n/a	Порядок регистрации каналов наблюдаем через подсказку «closest to it»	Что закроет: тотальный порядок подсказок — сортировка кандидатов по паре (расстояние, имя)	total ordering of channel-name hints by (distance, name) not implemented; registration order still leaks into hint text
314	OPEN	n/a	Одно явление — два разных инструмента принятия: ратчет у П1, точечные пороги у П3	Решение владельца 2026-08-31: правило в `AGENTS.md` сейчас не пишется	rule for choosing ratchet vs point threshold by subject level still not written into AGENTS.md; deferred to a separate baseline pass
366	OPEN	n/a	Слово `exclude` покрывает три механизма, из которых два — подавление	Что закроет: отдельный шаг словарного захода, решающий заодно, остаются ли два разных подавления двумя ключами или сливаются в один	config-key vocabulary rename (exclude vs suppress) not done; still one word for three mechanisms
394	CLOSED	yes	Ни наше дерево, ни корпус гейта не подают вход, на котором правка видна	Закрыто пакетом Х3-B2 (2026-09-02).	none - verified SuppressedInsideExcluded fixture exists in finding-gate/cases/rule-exclusion-ledger
430	CLOSED	no	Коммит исполнения переписал собственный отревьюенный план	Правило на дальше, действует с П2: правка плана — отдельный коммит перед кодом	none - historical process defect in one commit; a going-forward rule was recorded, no code remainder
448	OPEN	n/a	Второй вход пайплайна стоил классу перехода warning → error по связности	Что закроет: разделение пайплайна на подготовку прогона и его потребителей — работа своего масштаба, не хвост пакета	pipeline split to remove the coupling signal not done; findings still suppressed via rule-path-exclusion in qmx.yaml
