# The rules of the channel rename map format, and which reader enforces each.
#
# Two readers, one format: QmxFindingGate\Tsv + RenameMaps (scripts/finding-gate/, not on the
# production autoloader) and Qualimetrix\Analysis\Policy\Baseline\ChannelRenameMap (shipped with
# baseline:rename-channels, reads a map a user was given with their upgrade). "They read the same
# format" is therefore a claim about two code paths.
#
# What makes it checkable is one corpus of lines run against both:
# tests/Analysis/Policy/Baseline/Fixtures/ChannelRenameTsvCorpus.php, asserted by
# ChannelRenameMapTest (product side) and ChannelRenameTsvGateAgreementTest (gate side). Every row
# below names its corpus case. A change to either reader that moves a verdict has to move a row
# here; a rule added to one reader without a row here is the failure this file exists to expose.
#
# Five rows are deliberate divergences, marked DIVERGENCE with the reason. None is an oversight:
# the gate translates artifacts and the carry writes a file, and the asymmetry follows from that.
rule	gate	carry	corpus_case	note
header is exactly old/new/reason	refuse	refuse	wrong-header; header-with-extra-column	The header names the columns; a different one is a different file.
a row has exactly three tab-separated fields	refuse	refuse	row-missing-a-field	A row without a reason is a rename nobody justified.
no whitespace around any field	refuse	refuse	leading-space-in-old; trailing-space-in-new	Matching is exact equality, so an invisible edge fires nowhere and would be reported as an idle declaration.
a trailing CR is stripped per line	accept	accept	crlf-line-endings	A CRLF checkout is not a defect.
blank lines and # comments are skipped	accept	accept	comment-and-blank-lines	-
a header with no rows is a valid map	accept	accept	header-only	A map that declares nothing is a map.
both sides of a row equal	refuse	refuse	renames-nothing	A declaration that states no rename.
two rows rename one old name	refuse	refuse	two-rows-for-one-old	What the old name carries to becomes undecidable.
one row's target is renamed again by another	refuse	refuse	chain	The result would depend on the order rows were applied in.
two old names onto one new name	accept	refuse	collapse-two-olds-onto-one-new	DIVERGENCE. channels.tsv is forward-only (RenameMaps::FILES), and forwards a collapse is a true statement: two reference names really do become one. A carry writes a file, and a file cannot hold two accepted ceilings for one identity.
the same (old, new) row twice	accept	refuse	the-same-row-twice	DIVERGENCE. RenameMaps::normalize() groups rows by (old, new) so one name may be declared in two maps and still count once. A carry reads one map, where a repeated old name is the ambiguity the rule above forbids.
the retired rule#code spelling	accept	refuse	retired-pair-spelling	DIVERGENCE. The gate still expands the retired pair spelling because a reference tree predating the change publishes it. A baseline never did: its channel field holds a code, and FindingChannel refuses the pair spelling.
an empty new field	accept	refuse	empty-new-field	DIVERGENCE. The gate checks a field for whitespace edges, not for being a name; the carry constructs a FindingChannel, and an empty channel does not exist.
a name carrying the level separator ':'	accept	refuse	name-carrying-a-level-separator	DIVERGENCE. ':' addresses a level beside a channel name and can never be part of one, which only the product type knows.
a name carrying the ASCII Unit Separator	not measured	refuse	-	BaselineIdentity reserves it as its key separator. No corpus case runs it against the gate: a TSV field cannot usefully carry it and the gate has no opinion either way.
