key	constant	provided_by	is_channel_code	judged_by_channels	read_outside_owner_files	notes
complexity.ccn	COMPLEXITY_CCN	src/Analysis/Evidence/Complexity/CyclomaticComplexityCollector.php	N	complexity.cyclomatic	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php,src/Analysis/Evidence/Maintainability/MaintainabilityIndexCollector.php,src/Analysis/Evidence/Measurement/Aggregation/CallableToClassAggregator.php	NONE
complexity.cognitive	COMPLEXITY_COGNITIVE	src/Analysis/Evidence/Complexity/CognitiveComplexityCollector.php	Y	complexity.cognitive	NONE	NONE
complexity.npath	COMPLEXITY_NPATH	src/Analysis/Evidence/Complexity/NpathComplexityCollector.php	Y	complexity.npath	NONE	NONE
complexity.wmc	COMPLEXITY_WMC	src/Analysis/Evidence/Measurement/Aggregation/CallableToClassAggregator.php	Y	complexity.wmc,design.data-class (COMPOSITE, gating only),design.god-class (COMPOSITE, gating only)	src/Analysis/Evidence/Complexity/README.md,src/Analysis/Evidence/Complexity/WmcRule.php,src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php,src/Analysis/Evidence/Design/DataClass/DataClassRule.php,src/Analysis/Evidence/Design/GodClass/GodClassCriteriaEvaluator.php,src/Analysis/Evidence/Design/GodClass/GodClassRule.php	NONE
coupling.ca	COUPLING_CA	src/Analysis/Evidence/Coupling/CouplingCollector.php	N	NONE	NONE	NONE
coupling.ce	COUPLING_CE	src/Analysis/Evidence/Coupling/CouplingCollector.php	N	NONE	NONE	NONE
coupling.cbo	COUPLING_CBO	src/Analysis/Evidence/Coupling/CouplingCollector.php	Y	coupling.cbo	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	NONE
coupling.instability	COUPLING_INSTABILITY	src/Analysis/Evidence/Coupling/CouplingCollector.php	Y	coupling.instability	NONE	NONE
coupling.abstractness	COUPLING_ABSTRACTNESS	src/Analysis/Evidence/Coupling/AbstractnessCollector.php	N	NONE	NONE	NONE
coupling.distance	COUPLING_DISTANCE	src/Analysis/Evidence/Coupling/DistanceCollector.php	Y	coupling.distance	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	NONE
coupling.class-rank	COUPLING_CLASS_RANK	src/Analysis/Evidence/Coupling/ClassRankCollector.php	Y	coupling.class-rank	src/Analysis/Evidence/Prioritization/Impact/ClassRankResolver.php	NONE
coupling.ce-packages	COUPLING_CE_PACKAGES	src/Analysis/Evidence/Coupling/CouplingCollector.php	N	NONE	NONE	NONE
coupling.cbo-app	COUPLING_CBO_APP	src/Analysis/Evidence/Coupling/CouplingCollector.php	N	coupling.cbo (application-scope substitute; see CboRule.php:161)	NONE	Not a channel code itself; substitutes for coupling.cbo as the judged key only when ClassCboOptions->scope is application
coupling.ce-framework	COUPLING_CE_FRAMEWORK	src/Analysis/Evidence/Coupling/CouplingCollector.php	N	NONE	NONE	NONE
coupling.rfc	COUPLING_RFC	src/Analysis/Evidence/Coupling/RfcCollector.php	N	NONE	NONE	NONE
coupling.rfc-own	COUPLING_RFC_OWN	src/Analysis/Evidence/Coupling/RfcCollector.php	N	NONE	NONE	NONE
coupling.rfc-external	COUPLING_RFC_EXTERNAL	src/Analysis/Evidence/Coupling/RfcCollector.php	N	NONE	NONE	NONE
cohesion.tcc	COHESION_TCC	src/Analysis/Evidence/Cohesion/TccLccCollector.php	N	design.god-class (COMPOSITE, gating only)	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php,src/Analysis/Evidence/Design/GodClass/GodClassCriteriaEvaluator.php,src/Analysis/Evidence/Design/GodClass/GodClassRule.php	NONE
cohesion.lcc	COHESION_LCC	src/Analysis/Evidence/Cohesion/TccLccCollector.php	N	NONE	NONE	NONE
cohesion.pure-method-count	COHESION_PURE_METHOD_COUNT	src/Analysis/Evidence/Cohesion/TccLccCollector.php	N	NONE	NONE	NONE
cohesion.lcom	COHESION_LCOM	src/Analysis/Evidence/Cohesion/LcomCollector.php	Y	cohesion.lcom,design.god-class (COMPOSITE, gating only)	src/Analysis/Evidence/Design/GodClass/GodClassCriteriaEvaluator.php,src/Analysis/Evidence/Design/GodClass/GodClassRule.php	NONE
design.type-coverage.param.total	DESIGN_TYPE_COVERAGE_PARAM_TOTAL	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageCollector.php	N	NONE	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	NONE
design.type-coverage.param.typed	DESIGN_TYPE_COVERAGE_PARAM_TYPED	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageCollector.php	N	NONE	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	NONE
design.type-coverage.param	DESIGN_TYPE_COVERAGE_PARAM	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageCollector.php	Y	design.type-coverage.param	NONE	NONE
design.type-coverage.return.total	DESIGN_TYPE_COVERAGE_RETURN_TOTAL	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageCollector.php	N	NONE	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	NONE
design.type-coverage.return.typed	DESIGN_TYPE_COVERAGE_RETURN_TYPED	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageCollector.php	N	NONE	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	NONE
design.type-coverage.return	DESIGN_TYPE_COVERAGE_RETURN	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageCollector.php	Y	design.type-coverage.return	NONE	NONE
design.type-coverage.property.total	DESIGN_TYPE_COVERAGE_PROPERTY_TOTAL	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageCollector.php	N	NONE	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	NONE
design.type-coverage.property.typed	DESIGN_TYPE_COVERAGE_PROPERTY_TYPED	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageCollector.php	N	NONE	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	NONE
design.type-coverage.property	DESIGN_TYPE_COVERAGE_PROPERTY	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageCollector.php	Y	design.type-coverage.property	NONE	NONE
design.type-coverage.pct	DESIGN_TYPE_COVERAGE_PCT	src/Analysis/Evidence/Design/TypeCoverage/TypeCoveragePercentCollector.php	N	NONE	NONE	NONE
design.dit	DESIGN_DIT	src/Analysis/Evidence/Design/Inheritance/InheritanceDepthCollector.php	N	design.inheritance	NONE	NONE
design.is-readonly	DESIGN_IS_READONLY	src/Analysis/Evidence/Size/MethodCountCollector.php	N	NONE	src/Analysis/Evidence/Cohesion/LcomRule.php,src/Analysis/Evidence/Design/DataClass/DataClassExclusionCheck.php,src/Analysis/Evidence/Design/DataClass/DataClassRule.php,src/Analysis/Evidence/Design/GodClass/GodClassRule.php	NONE
design.is-promoted-properties-only	DESIGN_IS_PROMOTED_PROPERTIES_ONLY	src/Analysis/Evidence/Size/MethodCountCollector.php	N	NONE	src/Analysis/Evidence/Design/DataClass/DataClassExclusionCheck.php,src/Analysis/Evidence/Design/DataClass/DataClassRule.php	NONE
design.is-data-class	DESIGN_IS_DATA_CLASS	src/Analysis/Evidence/Size/MethodCountCollector.php	N	NONE	src/Analysis/Evidence/Complexity/WmcRule.php	NONE
design.noc	DESIGN_NOC	src/Analysis/Evidence/Design/Inheritance/NocCollector.php	Y	design.noc	NONE	NONE
design.is-abstract	DESIGN_IS_ABSTRACT	src/Analysis/Evidence/Size/MethodCountCollector.php	N	NONE	src/Analysis/Evidence/Design/DataClass/DataClassExclusionCheck.php,src/Analysis/Evidence/Design/DataClass/DataClassRule.php	NONE
design.is-interface	DESIGN_IS_INTERFACE	src/Analysis/Evidence/Size/MethodCountCollector.php	N	NONE	src/Analysis/Evidence/Design/DataClass/DataClassExclusionCheck.php,src/Analysis/Evidence/Design/DataClass/DataClassRule.php	NONE
design.is-exception	DESIGN_IS_EXCEPTION	src/Analysis/Evidence/Size/MethodCountCollector.php	N	NONE	src/Analysis/Evidence/Design/DataClass/DataClassExclusionCheck.php,src/Analysis/Evidence/Design/DataClass/DataClassRule.php	NONE
