# NON-RULE CONFIGURATION PATH INVENTORY
# Enumerates configuration positions outside rules: from ConfigSchema, closed-subtree probes, and check-command CLI doors.
# Unknown-key refusal makes a subtree ENUMERATED; silence leaves it UNENUMERATED. This measures accepted shape, not downstream effect.
# Probes cover nesting to depth four and the check command only. Presets share the YAML loader; composer.json path injection is not measured.
# Normalization policy belongs to the root. List element shape is recorded separately from container shape.
# Columns: path, YAML spelling, door, CLI option, owner, shape declaration, closed probe, element shape, normalization policy, status, removed confounder, note.
#
path	yaml_spelling	door	cli_option	owner	shape_decl	closed_probe	element_shape	policy	status	dropped_invariant	note
paths	paths	both	argument `paths`	Analysis\Run\Configuration\RunConfigurationResolver	ConfigSchema::ENTRIES (list, scalarType=NONE)	корень: bool отказывает, карта молчит (сосед)	НЕ ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] приняты, exit 0, 0 файлов проанализировано	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	позиционный `src` снят (иначе перекрывает)	третья дверь того же ключа — ComposerDiscoveryStage из composer.json
exclude	exclude	both	--exclude	Analysis\Run\Configuration\RunConfigurationResolver	ConfigSchema::ENTRIES (list)	—	НЕ ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] приняты, 16 находок = база	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	--exclude= пишет [''] и остаётся без эффекта
format	format	both	--format	Reporting\Configuration\OutputFormatResolver	ConfigSchema::ENTRIES (scalar, scalarType=NONE)	значение bogus отказывает БЕЗ рамки «Formatter "bogus" not found»	н/п (скаляр)	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	--format= молча отбрасывается put(); bool/список молча инертны (сосед)
disabled_rules	disabled_rules	both	--disable-rule	Analysis\Configuration\Pipeline\RuleNameValidator	ConfigSchema::ENTRIES (list)	—	ЧАСТИЧНО: [bogus.rule] отказывает рамочно обеими дверями; [1]/[~]/[{a:x}] приняты молча	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	словарь селекторов есть, проверка типа элемента — нет
only_rules	only_rules	both	--only-rule	Analysis\Configuration\Pipeline\RuleNameValidator	ConfigSchema::ENTRIES (list)	—	ЧАСТИЧНО: то же, что у disabled_rules	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	
suppress_paths	suppress_paths	both (CLI МИМО адаптера)	--suppress-path (алиас --exclude-path)	Reporting\FindingProjection\Configuration\ConfiguredFindingExclusionsResolver	ConfigSchema::ENTRIES (list)	—	НЕ ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] приняты, 16 = база	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	CLI-значение читается напрямую в FindingFilterOrchestrator:54, минуя ConfigurationInputAdapter; --suppress-path=zzz/nope принят молча (16), валидное значение даёт 10 — как и YAML
suppress_namespaces	suppress_namespaces	both (CLI МИМО адаптера)	--suppress-namespace (алиас --exclude-namespace)	Reporting\FindingProjection\Configuration\ConfiguredFindingExclusionsResolver	ConfigSchema::ENTRIES (list)	—	НЕ ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] приняты	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	FindingFilterOrchestrator:56
fail_on	fail_on	both	--fail-on	Infrastructure\Console\ExitPolicy	ConfigSchema::ENTRIES (scalar) + словарь none/warning/error в ExitPolicy	значение bogus отказывает рамочно обеими дверями	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	--fail-on снимался целиком	РАЗНАЯ валидация по дверям: YAML "" отказывает, CLI --fail-on= принимается молча (put() роняет '')
cache	cache	yaml (корень)	—	Infrastructure\Cache\CacheConfigurationResolver	ConfigSchema::allowedSectionSubKeys() = dir, enabled	ОТКАЗ: «Unknown key in "cache" section: "bogus". Allowed keys: dir, enabled»	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	--no-cache снимался	
cache.dir	cache: {dir: …}	both	--cache-dir	Infrastructure\Cache\CacheConfigurationResolver	ConfigSchema::ENTRIES (scalarType=NONE)	—	н/п	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	--no-cache снимался	--cache-dir= молча отбрасывается put(); bool/список молча роняются is_string-стражем (сосед)
