old	role	shape	matched_spelling	file	line	count	line_text
architecture.coverage	channel-code	plain	architecture.coverage	CHANGELOG.md	285	1	- `architecture.coverage` now includes analysed classes outside every declared layer even when they have no dependency edges, so `coverage: error` can enforce c
architecture.coverage	channel-code	plain	architecture.coverage	CHANGELOG.md	292	1	- New rule `architecture.unassigned-class` counts analysed class-like declarations that landed outside every declared layer, without the vendor dependency-edge
architecture.coverage	channel-code	plain	architecture.coverage	CHANGELOG.md	341	1	- **Selectors no longer swallow dotted descendants.** A name matches exactly and nothing else: `architecture.coverage` no longer selects a hypothetical `archite
architecture.coverage	channel-code	plain	architecture.coverage	CHANGELOG.md	357	1	- **The three layer-diagnostic severity keys are removed.** `unreachable_layer_severity`, `potential_shadow_severity` and `empty_template_severity` no longer ex
architecture.coverage	channel-code	plain	architecture.coverage	CHANGELOG.md	518	1	- `--only-rule` now selects the full finding channel instead of assuming a rule name prefixes its `violationCode`. `--only-rule=computed.health`, `--only-rule=h
architecture.coverage	channel-code	plain	architecture.coverage	CHANGELOG.md	551	1	- `architecture.coverage` with `coverage: warn` now reports `Warning` severity instead of `Info`, matching the mode's name. If you relied on it staying silent u
architecture.coverage	channel-code	plain	architecture.coverage	CHANGELOG.md	625	1	- New rule `architecture.layer-violation`: declare layers in YAML and enforce allowed inter-layer dependencies. Membership supports `patterns`, `suffix`, `attri
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0005-architecture-rules.md	50	2	For users who want diagnostics anyway, `architecture.coverage` is a separate setting (`ignore` / `warn` / `error`) that surfaces under a dedicated rule name `ar
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0006-architecture-rules-declaration-order.md	92	1	- **Catch-all pattern becomes idiomatic.** A final layer with `patterns: ['**']` captures every unclassified class and participates in policy normally — a clean
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0017-baseline-ceiling.md	117	1	11. **Three project-keyed architecture channels form multi-member groups.** `architecture.unreachable-layer`, `architecture.potential-shadow`, and `architecture
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0024-channel-identity-and-selector-semantics.md	22	1	swallowed by every selector aimed at the ancestor.** `architecture.coverage`
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0024-channel-identity-and-selector-semantics.md	45	1	diagnostics — `architecture.coverage`, `architecture.unreachable-layer`,
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0024-channel-identity-and-selector-semantics.md	165	1	`architecture.coverage` is a genuine hybrid — it means both "the layer
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0024-channel-identity-and-selector-semantics.md	178	1	is the same lie as a directive that does nothing. `architecture.coverage` never
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0029-channel-presentation-join.md	29	1	`architecture.*` diagnostics (`architecture.coverage`, `architecture.potential-shadow`,
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0048-the-final-published-name-vocabulary.md	264	1	| `architecture.coverage`        | `architecture.coverage-gap` | channel code only                       |
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0048-the-final-published-name-vocabulary.md	295	1	**`architecture.coverage` → `architecture.coverage-gap`.** In this product
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0048-the-final-published-name-vocabulary.md	586	1	published spelling of the option behind it. And `architecture.coverage` is
architecture.coverage	channel-code	plain	architecture.coverage	docs/adr/0048-the-final-published-name-vocabulary.md	642	1	- **Third: `architecture.coverage`'s configuration key moves with the channel.**
