set	probe	src_files	test_files	other	total
RuleLevel	grep -rl RuleLevel	15	34	0	49
RuleCategory	grep -rl RuleCategory	37	47	0	84
Violation (тип)	grep -rl 'Contract\\Violation;'	96	89	0	185
ChannelShape	grep -rl ChannelShape	9	8	0	17
MetricName::	grep -rl 'MetricName::'	61	9	0	70
различитель config-error	grep -rlE 'isConfigurationError|ChannelAcceptability'	13	4	0	17
тесты со счётчиками	grep -rlE 'const int [A-Z_]*COUNT = [0-9]+'	0	5	0	5
точечные имена правил	grep -rlE по 13 семействам (широкая проба)	61	224	47	332
публикуемые поля находки (JSON)	поля JsonViolationSection	0	0	17	17
#
# ПУБЛИКУЕМЫЕ ПОЛЯ НАХОДКИ (кортеж эквивалентности гейта обязан быть надмножеством):
#   file line subject symbol channel occurrence edge namespace rule code severity message recommendation metricValue threshold techDebtMinutes acceptedLevel
#
# ЧЕМ ПОЛУЧЕНО: ripgrep по src/, tests/, qmx.yaml, qmx.yaml.example, трём
# поставляемым пресетам и website/docs, 2026-08-22. Каждая строка — одна команда,
# и она предназначена для перезапуска, а не для доверия к этому снимку.
#
# ЗАЧЕМ ЭТОТ ФАЙЛ. Три раунда ревью нашли один и тот же класс дефекта и почти
# ничего кроме: план утверждал что-то о множестве, не перечислив множество.
# Раунд 1 — потребители уровня. Раунд 2 — потребители MetricName, нормализуемые
# поля, наборы файлов пакетов. Раунд 3 — поля кортежа эквивалентности, читатели
# различителя config-error, тесты со счётчиками. Каждый раунд давал ровно по
# одному контрпримеру на утверждение — именно так ведёт себя неперечисленное
# множество: цикл «правка → новый контрпример» не сходится.
#
# Поэтому план перестаёт называть множества прозой и ссылается сюда. Число в
# плане, которого нет в порождённом перечислении, — дефект плана.
#
# ЧЕГО ЭТОТ СПОСОБ НЕ ВИДИТ, в порядке вероятности укусить:
#  - тесты были каналом, который предыдущий вывод пропустил ЦЕЛИКОМ: греп шёл
#    только по src/. Смотри соотношение — 224 тестовых файла против 61 в src/
#    несут точечное имя правила. Любое множество, выведенное без тестов, занижено
#    примерно вчетверо;
#  - имя, полученное рефлексией, тегом DI или собранное в рантайме, невидимо для
#    каждой строки здесь;
#  - «точечные имена правил» — ШИРОКАЯ проба по 13 известным семействам: она и
#    перебирает (слово семейства в прозе совпадает), и недобирает (имя, собранное
#    из константы, не совпадает). Она ограничивает радиус, но не перечисляет его;
#  - «публикуемые поля находки» сняты с JsonViolationSection. Другие форматтеры
#    публикуют своё подмножество и свои производные (отпечатки), и они здесь не
#    перечислены — кортеж обязан быть надмножеством этого списка, а не равным ему;
#  - `other` покрывает qmx.yaml, qmx.yaml.example, три пресета и website/docs. Он
#    НЕ покрывает qmx.yaml пользователя, его бейзлайн и его CI-конфиг — они вне
#    репозитория и охраняются политикой ломающих изменений, а не этой таблицей;
#  - числа — счёт ФАЙЛОВ, а не вхождений, и файл, попавший в две строки, — это
#    один файл с двумя причинами меняться.
