source_fqcn	member_kind	member_name	target_fqcn
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentOptions
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionOptions
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionOptions
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions
Qualimetrix\Analysis\Evidence\CodeSmell\UnreachableCodeRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\CodeSmell\UnreachableCodeOptions
Qualimetrix\Analysis\Evidence\Cohesion\LcomRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Cohesion\LcomOptions
Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions
Qualimetrix\Analysis\Evidence\Complexity\ComplexityRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions
Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions
Qualimetrix\Analysis\Evidence\Complexity\WmcRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Complexity\WmcOptions
Qualimetrix\Analysis\Evidence\ComputedMetrics\ComputedMetricRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\ComputedMetrics\ComputedMetricRuleOptions
Qualimetrix\Analysis\Evidence\Coupling\CboRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Coupling\CboOptions
Qualimetrix\Analysis\Evidence\Coupling\ClassRankRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Coupling\ClassRankOptions
Qualimetrix\Analysis\Evidence\Coupling\DistanceRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Coupling\DistanceOptions
Qualimetrix\Analysis\Evidence\Coupling\InstabilityRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions
Qualimetrix\Analysis\Evidence\Design\DataClassRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Design\DataClassOptions
Qualimetrix\Analysis\Evidence\Design\GodClassRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Design\GodClassOptions
Qualimetrix\Analysis\Evidence\Design\InheritanceRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Design\InheritanceOptions
Qualimetrix\Analysis\Evidence\Design\NocRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Design\NocOptions
Qualimetrix\Analysis\Evidence\Design\ParamTypeCoverageRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Design\TypeCoverageOptions
Qualimetrix\Analysis\Evidence\Design\PropertyTypeCoverageRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Design\TypeCoverageOptions
Qualimetrix\Analysis\Evidence\Design\ReturnTypeCoverageRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Design\TypeCoverageOptions
Qualimetrix\Analysis\Evidence\Maintainability\MaintainabilityRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Maintainability\MaintainabilityOptions
Qualimetrix\Analysis\Evidence\Security\AbstractSecurityPatternRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Security\SecurityPatternOptions
Qualimetrix\Analysis\Evidence\Security\HardcodedCredentialsRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Security\HardcodedCredentialsOptions
Qualimetrix\Analysis\Evidence\Security\SensitiveParameterRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Security\SensitiveParameterOptions
Qualimetrix\Analysis\Evidence\Size\ClassCountRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Size\ClassCountOptions
Qualimetrix\Analysis\Evidence\Size\MethodCountRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Size\MethodCountOptions
Qualimetrix\Analysis\Evidence\Size\PropertyCountRule	method	getOptionsClass	Qualimetrix\Analysis\Evidence\Size\PropertyCountOptions
Qualimetrix\Analysis\Finding\Contract\ProducerDeclaration	constructor	optionsClass	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface
Qualimetrix\Analysis\Finding\Contract\RuleMetadata	constructor	optionsClass	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface
Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface	method	getOptionsClass	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface
Qualimetrix\Analysis\Finding\RuleConfiguration\RuleOptionsFactory	method	optionsClass	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface
Qualimetrix\Analysis\Finding\RuleConfiguration\RuleOptionsFactory	method	optionsClass	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface
