target_contract_fqcn	target_owner	distinct_consumer_fqcns	distinct_consumer_owners
Qualimetrix\Analysis\Configuration\ConfigSchema	Analysis.Configuration	9	6
Qualimetrix\Analysis\Configuration\Contract\ConfigurationDocument	Analysis.Configuration	23	9
Qualimetrix\Analysis\Configuration\Contract\Discovery\ComposerAutoloadPathReaderInterface	Analysis.Configuration	3	2
Qualimetrix\Analysis\Configuration\Contract\Exception\ConfigLoadException	Analysis.Configuration	3	1
Qualimetrix\Analysis\Configuration\Contract\KnownRuleNamesProviderInterface	Analysis.Configuration	2	2
Qualimetrix\Analysis\Configuration\Contract\Pipeline\ConfigurationPipelineInterface	Analysis.Configuration	3	2
Qualimetrix\Analysis\Configuration\Contract\Pipeline\ConfigurationResolutionRequest	Analysis.Configuration	1	1
Qualimetrix\Analysis\Evidence\CircularDependency\Contract\CircularDependencyPreparationInterface	Analysis.Evidence.CircularDependency	4	3
Qualimetrix\Analysis\Evidence\Cohesion\Contract\LcomCollectionConfigurableInterface	Analysis.Evidence.Cohesion	2	2
Qualimetrix\Analysis\Evidence\Cohesion\Contract\LcomCollectionConfiguration	Analysis.Evidence.Cohesion	3	2
Qualimetrix\Analysis\Evidence\Cohesion\Contract\LcomCollectionConfigurationResolverInterface	Analysis.Evidence.Cohesion	3	2
Qualimetrix\Analysis\Evidence\Cohesion\Contract\LcomCollectionConfigurationStoreInterface	Analysis.Evidence.Cohesion	5	3
Qualimetrix\Analysis\Evidence\ComputedMetrics\ComputedMetricConfigurationException	Analysis.Evidence.ComputedMetrics	1	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Configuration\ComputedMetricConfiguratorInterface	Analysis.Evidence.ComputedMetrics	2	2
Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Configuration\HealthFormulaExclusionInterface	Analysis.Evidence.ComputedMetrics	1	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Definition\ComputedMetricDefinition	Analysis.Evidence.ComputedMetrics	1	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Definition\ComputedMetricDefinitionCatalogInterface	Analysis.Evidence.ComputedMetrics	6	3
Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Definition\HealthDimension	Analysis.Evidence.ComputedMetrics	7	2
Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Definition\ResolvedComputedMetricDefinitions	Analysis.Evidence.ComputedMetrics	3	2
Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Evaluation\ComputedMetricEvaluator	Analysis.Evidence.ComputedMetrics	1	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Finding\ComputedMetricChannelFamily	Analysis.Evidence.ComputedMetrics	2	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\DrillDown\HealthScoreDrillDown	Analysis.Evidence.ComputedMetrics.Health	1	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\DrillDown\WorstClassDrillDown	Analysis.Evidence.ComputedMetrics.Health	2	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\Metadata\HealthMetricMetadataCollection	Analysis.Evidence.ComputedMetrics.Health	1	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\Metadata\HealthMetricMetadataProviderInterface	Analysis.Evidence.ComputedMetrics.Health	1	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\Offender\WorstOffender	Analysis.Evidence.ComputedMetrics.Health	3	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\Score\DecompositionItem	Analysis.Evidence.ComputedMetrics.Health	3	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\Score\HealthContributor	Analysis.Evidence.ComputedMetrics.Health	1	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\Score\HealthScore	Analysis.Evidence.ComputedMetrics.Health	2	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\Summary\HealthSummary	Analysis.Evidence.ComputedMetrics.Health	1	1
Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Contract\Summary\HealthSummaryBuilder	Analysis.Evidence.ComputedMetrics.Health	1	1
Qualimetrix\Analysis\Evidence\Coupling\Contract\Configuration\CouplingConfiguratorInterface	Analysis.Evidence.Coupling	3	2
Qualimetrix\Analysis\Evidence\DependencyModel\Contract\Dependency	Analysis.Evidence.DependencyModel	2	1
Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyGraphBuilderInterface	Analysis.Evidence.DependencyModel	6	3
Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyGraphInterface	Analysis.Evidence.DependencyModel	25	8
Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyLocationInterface	Analysis.Evidence.DependencyModel	1	1
Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyTraversalParticipantInterface	Analysis.Evidence.DependencyModel	7	4
Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyType	Analysis.Evidence.DependencyModel	8	4
Qualimetrix\Analysis\Evidence\Measurement\Contract\AbstractCollector	Analysis.Evidence.Measurement	21	8
Qualimetrix\Analysis\Evidence\Measurement\Contract\AggregationStrategy	Analysis.Evidence.Measurement	32	9
Qualimetrix\Analysis\Evidence\Measurement\Contract\CallableMetricsProviderInterface	Analysis.Evidence.Measurement	8	5
Qualimetrix\Analysis\Evidence\Measurement\Contract\CallableWithMetrics	Analysis.Evidence.Measurement	2	2
Qualimetrix\Analysis\Evidence\Measurement\Contract\ClassMetricsProviderInterface	Analysis.Evidence.Measurement	9	6
Qualimetrix\Analysis\Evidence\Measurement\Contract\ClassWithMetrics	Analysis.Evidence.Measurement	1	1
Qualimetrix\Analysis\Evidence\Measurement\Contract\CollectionOutput	Analysis.Evidence.Measurement	1	1
Qualimetrix\Analysis\Evidence\Measurement\Contract\DeclarationIndexAwareInterface	Analysis.Evidence.Measurement	20	8
Qualimetrix\Analysis\Evidence\Measurement\Contract\DeclarationIndexAwareTrait	Analysis.Evidence.Measurement	8	5
Qualimetrix\Analysis\Evidence\Measurement\Contract\DeclarationRegistrarFactory	Analysis.Evidence.Measurement	4	3
Qualimetrix\Analysis\Evidence\Measurement\Contract\DeclarationRegistrarInterface	Analysis.Evidence.Measurement	1	1
Qualimetrix\Analysis\Evidence\Measurement\Contract\DerivedCollectorInterface	Analysis.Evidence.Measurement	3	3
Qualimetrix\Analysis\Evidence\Measurement\Contract\DerivedMetricExtractorInterface	Analysis.Evidence.Measurement	3	2
Qualimetrix\Analysis\Evidence\Measurement\Contract\FileMeasurementCollectorInterface	Analysis.Evidence.Measurement	4	3
Qualimetrix\Analysis\Evidence\Measurement\Contract\GlobalContextCollectorInterface	Analysis.Evidence.Measurement	7	3
Qualimetrix\Analysis\Evidence\Measurement\Contract\MeasurementAggregationInterface	Analysis.Evidence.Measurement	3	2
Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricBag	Analysis.Evidence.Measurement	45	11
Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricCollectorInterface	Analysis.Evidence.Measurement	1	1
Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricDefinition	Analysis.Evidence.Measurement	22	7
Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricName	Analysis.Evidence.Measurement	64	11
Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricRepositoryFactoryInterface	Analysis.Evidence.Measurement	5	3
Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricRepositoryInterface	Analysis.Evidence.Measurement	23	11
Qualimetrix\Analysis\Evidence\Measurement\Contract\NamespaceMetricProviderInterface	Analysis.Evidence.Measurement	3	2
Qualimetrix\Analysis\Evidence\Measurement\Contract\NamespaceTree	Analysis.Evidence.Measurement	9	5
Qualimetrix\Analysis\Evidence\Measurement\Contract\NamespaceWithMetrics	Analysis.Evidence.Measurement	2	1
Qualimetrix\Analysis\Evidence\Measurement\Contract\ParallelSafeCollectorInterface	Analysis.Evidence.Measurement	3	3
Qualimetrix\Analysis\Evidence\Measurement\Contract\ProjectNamespaceResolverInterface	Analysis.Evidence.Measurement	2	2
Qualimetrix\Analysis\Evidence\Measurement\Contract\ResettableVisitorInterface	Analysis.Evidence.Measurement	21	8
Qualimetrix\Analysis\Evidence\Measurement\Contract\VisitorCallableScope	Analysis.Evidence.Measurement	5	3
